Symbol,Security,GICS Sector,Headquarters Location,Market Cap / B,Revenue (TTM) / B,Profit Margin / %,Earnings per Share (TTM) / $,Price to Earning ratio (TTM),Payout ratio / %,Recommendation Score
ED,Consolidated Edison,Utilities,"New York City, New York",31.40B,15.25B,15.57%,6.77,13.44,47.56%,3.1
STZ,Constellation Brands,Consumer Staples,"Victor, New York",44.40B,9.79B,15.50%,8.51,28.41,39.72%,1.9
CEG,Constellation Energy,Utilities,"Baltimore, Maryland",37.34B,26.45B,6.40%,5.21,22.44,18.94%,2.3
COO,CooperCompanies,Health Care,"San Ramon, California",18.75B,3.59B,8.19%,5.91,64.06,1.02%,2.3
CPRT,Copart,Industrials,"Dallas, Texas",47.05B,4B,33.14%,1.37,35.77,0.00%,2.0
GLW,Corning Inc.,Information Technology,"Corning, New York",25.98B,13B,4.50%,0.68,44.78,163.24%,2.2
CTVA,Corteva,Materials,"Indianapolis, Indiana",33.77B,17.34B,5.38%,1.57,30.52,38.85%,2.2
CSGP,CoStar Group,Real Estate,"Washington, D.C.",35.69B,2.39B,16.86%,0.99,88.27,0.00%,1.8
COST,Costco,Consumer Staples,"Issaquah, Washington",292.96B,245.65B,2.65%,14.66,45.01,26.99%,2.1
CTRA,Coterra,Energy,"Houston, Texas",19.20B,6.39B,35.05%,2.89,8.83,57.09%,2.3
CCI,Crown Castle,Real Estate,"Houston, Texas",49.96B,7.07B,21.96%,3.58,32.18,174.86%,2.7
CSX,CSX,Industrials,"Jacksonville, Florida",68.52B,14.71B,26.16%,1.89,18.35,22.75%,2.0
CMI,Cummins,Industrials,"Columbus, Indiana",33.96B,33.29B,8.40%,19.62,12.20,32.55%,2.5
CVS,CVS Health,Health Care,"Woonsocket, Rhode Island",101.61B,346.6B,2.44%,6.53,12.09,36.22%,2.1
DHR,Danaher Corporation,Health Care,"Washington, D.C.",170.94B,29.57B,20.01%,7.93,29.17,9.96%,2.0
DRI,Darden Restaurants,Consumer Discretionary,"Orlando, Florida",19.77B,11.01B,9.16%,8.26,19.89,61.02%,2.0
DVA,DaVita Inc.,Health Care,"Denver, Colorado",9.57B,11.91B,5.11%,6.44,16.27,0.00%,3.0
DE,John Deere,Industrials,"Moline, Illinois",112.07B,61.22B,16.61%,34.63,11.55,14.58%,2.1
DAL,Delta Air Lines,Industrials,"Atlanta, Georgia",25.89B,57.26B,5.94%,5.30,7.59,1.89%,1.6
XRAY,Dentsply Sirona,Health Care,"Charlotte, North Carolina",7.54B,3.94B,-5.44%,-1.01,126.19,28.83%,2.3
DVN,Devon Energy,Energy,"Oklahoma City, Oklahoma",29.02B,14.93B,25.42%,5.87,7.72,58.77%,2.2
DXCM,Dexcom,Health Care,"San Diego, California",47.37B,3.4B,11.08%,0.91,136.37,0.00%,1.5
FANG,Diamondback Energy,Energy,"Midland, Texas",27.76B,7.74B,41.19%,17.63,8.80,39.02%,2.1
DLR,Digital Realty,Real Estate,"Austin, Texas",40.76B,5.31B,17.40%,2.89,46.57,168.86%,2.4
DFS,Discover Financial,Financials,"Riverwoods, Illinois",28.11B,10.44B,34.44%,13.50,8.33,19.26%,2.2
DG,Dollar General,Consumer Staples,"Goodlettsville, Tennessee",29.84B,39.04B,4.92%,8.69,15.64,26.70%,2.5
DLTR,Dollar Tree,Consumer Staples,"Chesapeake, Virginia",30.95B,29.68B,3.92%,5.27,26.95,0.00%,2.4
D,Dominion Energy,Utilities,"Richmond, Virginia",39.33B,17.9B,9.59%,3.01,15.61,88.70%,2.7
DPZ,Domino's,Consumer Discretionary,"Ann Arbor, Michigan",14.38B,4.47B,11.64%,14.59,28.22,32.38%,2.3
