Symbol,Security,GICS Sector,Headquarters Location,Market Cap / B,Revenue (TTM) / B,Profit Margin / %,Earnings per Share (TTM) / $,Price to Earning ratio (TTM),Payout ratio / %,Recommendation Score
TYL,Tyler Technologies,Information Technology,"Plano, Texas",17.61B,1.92B,8.22%,3.68,113.01,0.00%,1.9
TSN,Tyson Foods,Consumer Staples,"Springdale, Arkansas",19.09B,52.88B,-1.23%,-1.87,,202.13%,2.8
USB,U.S. Bank,Financials,"Minneapolis, Minnesota",67.39B,24.6B,22.39%,3.35,12.92,57.31%,2.5
UBER,Uber,Industrials,"San Francisco, California",126.70B,35.95B,2.93%,0.52,118.40,0.00%,1.8
UDR,"UDR, Inc.",Real Estate,"Highlands Ranch, Colorado",12.59B,1.64B,27.81%,1.38,27.75,118.84%,2.5
ULTA,Ulta Beauty,Consumer Discretionary,"Bolingbrook, Illinois",23.79B,10.88B,11.37%,24.64,19.88,0.00%,2.2
UNP,Union Pacific Corporation,Industrials,"Omaha, Nebraska",149.73B,24.14B,26.37%,10.41,23.57,49.90%,2.2
UAL,United Airlines Holdings,Industrials,"Chicago, Illinois",13.54B,52.49B,5.45%,8.64,4.78,0.00%,2.1
UPS,United Parcel Service,Industrials,"Sandy Springs, Georgia",133.95B,93.07B,9.19%,9.87,15.91,64.57%,2.5
URI,United Rentals,Industrials,"Stamford, Connecticut",38.87B,13.9B,17.15%,34.41,16.67,12.91%,2.5
UNH,UnitedHealth Group,Health Care,"Minnetonka, Minnesota",486.95B,359.98B,6.02%,23.06,22.85,30.64%,1.8
UHS,Universal Health Services,Health Care,"King of Prussia, Pennsylvania",10.40B,14.03B,4.82%,9.53,16.01,8.40%,2.5
VLO,Valero Energy,Energy,"San Antonio, Texas",44.26B,145.46B,7.39%,29.32,4.43,13.78%,2.1
VTR,Ventas,Real Estate,"Chicago, Illinois",20.05B,4.36B,0.11%,0.02,2.49k,"9,000.00%",2.2
VLTO,Veralto,Industrials,"Waltham, Massachusetts",20.26B,4.98B,17.17%,2.93,28.08,0.00%,2.4
VRSN,Verisign,Information Technology,"Dulles, Virginia",21.02B,1.48B,49.42%,7.00,29.38,0.00%,2.3
VRSK,Verisk,Industrials,"Jersey City, New Jersey",34.65B,2.63B,19.04%,5.33,44.84,24.95%,2.3
VZ,Verizon,Communication Services,"New York City, New York",158.49B,134.1B,15.58%,4.97,7.59,52.77%,2.7
VRTX,Vertex Pharmaceuticals,Health Care,"Cambridge, Massachusetts",104.85B,9.65B,35.94%,13.30,30.55,0.00%,2.0
VFC,VF Corporation,Consumer Discretionary,"Denver, Colorado",7.31B,11.39B,-1.89%,-0.55,111.90,536.67%,2.7
VTRS,Viatris,Health Care,"Pittsburgh, Pennsylvania",12.99B,15.47B,11.84%,1.51,7.17,31.79%,2.7
VICI,Vici Properties,Real Estate,"New York City, New York",32.98B,3.47B,68.23%,2.41,13.23,65.77%,1.9
V,Visa Inc.,Financials,"San Francisco, California",535.07B,32.65B,52.90%,8.28,31.44,21.74%,1.9
VMC,Vulcan Materials Company,Materials,"Birmingham, Alabama",30.16B,7.68B,10.75%,6.24,36.32,27.04%,1.8
WRB,Berkley,Financials,"Greenwich, Connecticut",18.24B,11.94B,11.45%,4.96,14.26,8.47%,2.1
WAB,Wabtec,Industrials,"Pittsburgh, Pennsylvania",22.74B,9.46B,8.02%,4.20,30.21,15.71%,2.5
WBA,Walgreens Boots Alliance,Consumer Staples,"Deerfield, Illinois",22.52B,139.08B,-2.21%,-3.57,5.98,38.17%,3.0
WMT,Walmart,Consumer Staples,"Bentonville, Arkansas",424.43B,638.79B,2.55%,6.01,26.23,37.77%,1.8
DIS,Walt Disney,Communication Services,"Burbank, California",165.26B,88.9B,2.65%,1.29,69.99,0.00%,2.1
WBD,Warner Bros. Discovery,Communication Services,"New York City, New York",27.75B,42.05B,-11.48%,-1.94,,0.00%,2.3
WM,Waste Management,Industrials,"Houston, Texas",72.14B,20.14B,11.47%,5.64,31.70,48.67%,2.2
WAT,Waters Corporation,Health Care,"Milford, Massachusetts",19.47B,3B,21.80%,11.00,29.98,0.00%,3.0
WEC,WEC Energy Group,Utilities,"Milwaukee, Wisconsin",26.55B,9.23B,14.79%,4.32,19.48,71.01%,2.7
WFC,Wells Fargo,Financials,"San Francisco, California",178.75B,76.49B,24.00%,4.58,10.75,27.29%,2.1
WELL,Welltower,Real Estate,"Toledo, Ohio",49.91B,6.32B,3.99%,0.53,170.13,460.38%,2.1
WST,West Pharmaceutical Services,Health Care,"Exton, Pennsylvania",26.05B,2.93B,19.11%,7.43,47.46,10.24%,2.0
WDC,Western Digital,Information Technology,"San Jose, California",16.98B,11.33B,-21.34%,-7.70,,0.00%,2.2
WRK,WestRock,Materials,"Atlanta, Georgia",10.65B,20.31B,-8.12%,-6.44,12.56,32.96%,2.2
WY,Weyerhaeuser,Real Estate,"Seattle, Washington",25.38B,7.72B,8.17%,0.87,39.97,86.21%,2.1
WHR,Whirlpool Corporation,Consumer Discretionary,"Benton Harbor, Michigan",6.68B,19.29B,-8.37%,-28.88,12.72,103.91%,3.2
WMB,Williams Companies,Energy,"Tulsa, Oklahoma",42.37B,10.3B,26.30%,2.28,15.28,77.52%,2.4
WTW,Willis Towers Watson,Financials,"London, United Kingdom",24.91B,9.29B,10.99%,9.46,25.53,35.34%,2.7
GWW,W. W. Grainger,Industrials,"Lake Forest, Illinois",41.13B,16.28B,11.16%,35.88,23.11,19.97%,2.7
WYNN,Wynn Resorts,Consumer Discretionary,"Paradise, Nevada",10.29B,5.7B,0.58%,0.28,325.39,178.57%,2.2
XEL,Xcel Energy,Utilities,"Minneapolis, Minnesota",34.16B,14.82B,11.75%,3.16,19.59,64.79%,2.7
XYL,Xylem Inc.,Industrials,"White Plains, New York",27.57B,6.75B,7.29%,2.45,46.68,52.65%,2.1
YUM,Yum! Brands,Consumer Discretionary,"Louisville, Kentucky",36.63B,7.06B,21.32%,5.27,24.84,45.34%,2.4
ZBRA,Zebra Technologies,Information Technology,"Lincolnshire, Illinois",14.04B,5.08B,9.16%,8.94,30.54,0.00%,2.4
ZBH,Zimmer Biomet,Health Care,"Warsaw, Indiana",25.43B,7.28B,6.52%,2.26,53.85,42.48%,2.6
ZION,Zions Bancorporation,Financials,"Salt Lake City, Utah",6.50B,3.08B,27.19%,5.40,8.12,30.37%,2.8
ZTS,Zoetis,Health Care,"Parsippany, New Jersey",90.62B,8.37B,27.24%,4.91,40.20,29.53%,1.8
